id,name,email,phone,status,score,user_id,created_at,last_contact,last_followup_email
200,【翔泳社の通販】SEshop,contactus@seshop.com,,Spam,,2,2024/10/17 22:37,,
201,Next.js Conf,conf@info.nextjs.org,,Spam,,2,2024/10/17 22:38,,
202,マジセミ代表 寺田雄一,tera@webinar-b.jp,,Spam,,2,2024/10/17 23:57,,
203,【ビズスタ】,info@biz-study.com,,Spam,,2,2024/10/17 23:57,,
204,Pinterest,recommendations@discover.pinterest.com,,Spam,,2,2024/10/17 11:39,,
205,,notify@zohoconnect.com,,Spam,,2,2024/10/17 11:39,,
206,びゅうトラベルメールマガジン,viewtravel@mail.jre-travel.com,,Spam,,2,2024/10/17 11:40,,
207,X,verify@x.com,,Spam,,2,2024/10/17 16:45,,
208,平塚信用金庫,kib_shinkin@ssc.facetoface.ne.jp,,Contacted,,2,2024/10/17 22:38,,
209,積水ハウス不動産の売買,sumusite-info@sekisuihouse.co.jp,,Spam,,2,2024/10/18 0:09,,
210,楽天コミュニケーションズ,raku.info@comm.rakuten.co.jp,,Spam,,2,2024/10/18 1:07,,
211,ピー・シー・エー株式会社,info_pca@pca.co.jp,,Spam,,2,2024/10/22 2:05,,
212,G2,outreach@hello.g2.com,,Spam,,2,2024/10/22 13:05,,
213,1click後払い事務局,1clicksales@robotpayment.co.jp,,Spam,,2,2024/10/23 0:05,,
214,水野宏一,mzn-hrk@jcom.home.ne.jp,None,Qualified,,2,2024/10/23 1:11,,
215,Pinterest,recommendations@discover.pinterest.com,,Spam,,2,2024/10/17 11:39,,
216,Skyscanner,no-reply@sender.skyscanner.com,,Spam,,2,2024/10/17 17:57,,
217,リコージャパン株式会社,rcc_solution@d-marketing.jp.ricoh.com,,Spam,,2,2024/10/18 0:09,,
218,EPARK,news@epark.jp,,Spam,,2,2024/10/18 23:45,,
219,楽天モバイル㈱　法人ネットワーク事業統括本部,rm-cx-info@mail.rakuten.com,,Spam,,2,2024/10/21 0:14,,
220,"Horie, Keisuke",Keisuke.Horie@dell.com,,Contacted,,2,2024/10/20 23:26,,
221,富士通ショッピングサイトWEB MART,info-biz@mail.direct.jp.fujitsu.com,,Contacted,,2,2024/10/21 0:56,,
222,Zoho Team,noreply@zohoaccounts.com,,Spam,,2,2024/10/21 0:50,,
223,ゾーホージャパン ウェビナー運営事務局,zoho-events@zoho.co.jp,,Spam,,2,2024/10/21 1:02,,
224,Mermaid,matt@mermaidchart.com,,Spam,,2,2024/10/21 1:02,,
225,NTTデータ イントラマート intra-mart LIVE 事務局,im-live2024@event-reg.jp,,Spam,,2,2024/10/21 1:02,,
226,ゾーホージャパン株式会社 ManageEngine事業部 営業部,sales@manageengine.jp,,Spam,,2,2024/10/21 2:32,,
227,株式会社フリーウェイジャパン,info@freeway-japan.com,,Spam,,2,2024/10/21 3:14,,
228,リージャス,Enquiry@regus-office.jp,,Spam,,2,2024/10/21 3:08,,
229,アンテロープ白木,sshiraki@antelope.work,,Qualified,,2,2024/10/21 2:44,,
230,Catalyst Team,info@zohocatalyst.com,,Spam,,2,2024/10/21 5:38,,
231,三井住友カード,mail@contact.vpass.ne.jp,,Spam,,2,2024/10/21 8:18,,
232,ウイングアーク１ｓｔ株式会社,news@wingarc.com,,Spam,,2,2024/10/22 2:35,,
233,新木ゆい（Baseconnect株式会社）,sales@baseconnect.in,,Spam,,2,2024/10/22 3:05,,
234,,inoue@sagami-r.com,,Qualified,,2,2024/10/23 1:47,,
235,メシウス 株式会社（旧グレープシティ）,es.sales@contact.mescius.com,,Spam,,2,2024/10/23 1:11,,
236,StatusIQ,no-reply@mails.site24x7sp.eu,,Spam,,2,2024/10/23 1:41,,
237,QUOカードPayキャンペーン情報,info_payapp@quocard.net,,Spam,,2,2024/10/23 1:53,,
238,マーケティング担当,marketing@robotpayment.co.jp,,Spam,,2,2024/10/18 0:15,,
239,,systemgenerated@zohocrm.com,,Spam,,2,2024/10/18 2:45,,
240,tl;dv Team,no-reply@tldv.io,None,Contacted,,2,2024/10/18 7:09,,
241,Google Payments,payments-noreply@google.com,,Contacted,,2,2024/10/18 11:57,,
242,ゾーホージャパンManageEngine事業部,support_newsletters@manageengine.jp,,Spam,,2,2024/10/21 1:14,,
243,たんぽぽ歯科　柳田守康,tanpopo.yanagida@gmail.com,,Qualified,,2,2024/10/21 1:14,,
244,マネーフォワードクラウド年末調整,tax-adjustment.feedback@moneyforward.com,,Spam,,2,2024/10/21 2:08,,
245,株式会社セールスフォース・ジャパン,japan-marketing@mail.salesforce.com,,Spam,,2,2024/10/21 2:08,,
246,不動産投資の楽待,no-reply@rakumachi.jp,,Spam,,2,2024/10/17 11:52,,
247,不動産投資の楽待,no-reply@rakumachi.jp,,Spam,,2,2024/10/17 11:52,,
248,Yahoo!しごとカタログ,jobs-info-master@mail.yahoo.co.jp,,Spam,,2,2024/10/17 11:52,,
249,Replit,notifications@replit.com,,Spam,,2,2024/10/17 11:52,,
250,seminar@myts-group.com,seminar@myts-group.com,,Spam,,2,2024/10/17 11:52,,
251,クラウドワークス事務局,no-reply@melma.crowdworks.jp,,Spam,,2,2024/10/17 11:53,,
252,富士通 My Cloud 事務局,mycloud-adv@fmworld.net,,Spam,,2,2024/10/17 11:53,,
253,富士通 My Cloud 事務局,mycloud-adv@fmworld.net,,Spam,,2,2024/10/17 11:53,,
254,TechTargetジャパン/キーマンズネット編集部,ttkn-mail@noreply.itmedia.co.jp,,Spam,,2,2024/10/17 11:53,,
255,au PAY マーケット,mag@news.wowma.jp,,Spam,,2,2024/10/17 11:53,,
256,au PAY カード,magazine@email.kddi-fs.com,,Spam,,2,2024/10/17 11:53,,
257,アイオープラザ,ioplaza-mag@iodata.jp,,Spam,,2,2024/10/17 11:53,,
258,アイオープラザ,ioplaza-mag@iodata.jp,,Spam,,2,2024/10/17 11:53,,
259,編集部 小野寺恵子｜税理士ドットコム,zeiri4-info@zeiri4.com,,Spam,,2,2024/10/17 11:53,,
260,JRE POINT事務局,info@ma.jrepoint.jp,,Spam,,2,2024/10/17 11:53,,
261,第一生命,emagazine@daiichilife.com,,Spam,,2,2024/10/17 11:53,,
262,ドミノ・ピザ,dominos@mail.dominos.jp,,Spam,,2,2024/10/17 11:54,,
263,ドミノ・ピザ,dominos@mail.dominos.jp,,Spam,,2,2024/10/17 11:54,,
264,,infomail@japan.cnet.com,,Spam,,2,2024/10/17 11:54,,
265,ネットオフ NEWS,magazine2@mail.netoff.co.jp,,Spam,,2,2024/10/17 11:54,,
266,湘南ベルマーレ,bellmare@mf.scn-net.ne.jp,,Spam,,2,2024/10/17 11:54,,
267,鹿島アントラーズ,no-reply@kashimaantlers.jp,,Spam,,2,2024/10/17 11:54,,
268,楽天証券トウシル,mktg_nws@rakuten-sec.co.jp,,Spam,,2,2024/10/17 11:55,,
269,OPEN HUB編集部,info-openhub@ml.ntt.com,,Spam,,2,2024/10/17 11:55,,
270,ITmedia エンタープライズ,enterprise-mail@noreply.itmedia.co.jp,,Spam,,2,2024/10/17 11:55,,
271,ITmedia エンタープライズ,enterprise-mail@noreply.itmedia.co.jp,,Spam,,2,2024/10/17 11:55,,
272,FANY 公式,mag@fs.yoshimoto.co.jp,,Spam,,2,2024/10/17 11:55,,
273,Start ファイナンス,microsoft.start@email2.microsoft.com,,Spam,,2,2024/10/17 11:55,,
274,Jetstar,jetstar@email.jetstar.com,,Spam,,2,2024/10/17 11:56,,
275,大澤悦子,keiri@o-sawa.net,None,Qualified,,2,2024/10/18 0:21,,
276,Audible.co.jp,newsletters@audible.co.jp,,Spam,,2,2024/10/19 4:45,,
277,Google カレンダー,calendar-noreply@google.com,,Contacted,,2,2024/10/20 14:22,,
278,西尾 真言,mac_nishio@yahoo.co.jp,,Contacted,,2,2024/10/21 8:54,,
279,Yahoo!しごとカタログ,jobs-info-master@mail.yahoo.co.jp,,Spam,,2,2024/10/17 11:52,,
280,TechTargetジャパン/キーマンズネット編集部,ttkn-mail@noreply.itmedia.co.jp,,Spam,,2,2024/10/17 11:53,,
281,編集部 小野寺恵子｜税理士ドットコム,zeiri4-info@zeiri4.com,,Spam,,2,2024/10/17 11:53,,
