id,name,email,phone,status,score,user_id,created_at,last_contact,last_followup_email
205,notify@zohoconnect.com,notify@zohoconnect.com,,Spam,0,2,2024/10/17 11:39,2024/10/17 11:39,
531,（株）マッケンジーハウス小田原支店,odawara@mackenzie.co.jp,,Spam,0,2,2024/10/17 12:02,2024/10/17 12:02,
532,（株）マッケンジーハウス小田原支店,odawara@mackenzie.co.jp,,Spam,0,2,2024/10/17 12:02,2024/10/17 12:02,
464,【PontaWebニュース】,pontawebnews@point.recruit.co.jp,,Spam,0,2,2024/10/17 11:51,2024/10/17 11:51,
465,【PontaWebニュース】,pontawebnews@point.recruit.co.jp,,Spam,0,2,2024/10/17 11:51,2024/10/17 11:51,
203,【ビズスタ】,info@biz-study.com,,Spam,0,2,2024/10/17 23:57,2024/10/17 23:57,
505,【東京電力エナジーパートナー】くらしTEPCO web,mail@kurashi3.tepco.co.jp,,Spam,0,2,2024/10/17 11:58,2024/10/17 11:58,
506,【東京電力エナジーパートナー】くらしTEPCO web,mail@kurashi3.tepco.co.jp,,Spam,0,2,2024/10/17 11:58,2024/10/17 11:58,
517,【東京電力エナジーパートナー】くらしTEPCO web,info@kurashi.tepco.co.jp,,Spam,0,2,2024/10/17 12:00,2024/10/17 12:00,
518,【東京電力エナジーパートナー】くらしTEPCO web,info@kurashi.tepco.co.jp,,Spam,0,2,2024/10/17 12:00,2024/10/17 12:00,
200,【翔泳社の通販】SEshop,contactus@seshop.com,,Spam,0,2,2024/10/17 22:37,2024/10/17 22:37,
213,1click後払い事務局,1clicksales@robotpayment.co.jp,,Spam,0,2,2024/10/23 0:05,2024/10/23 0:05,
534,Amazon,account-update@amazon.com,,Spam,0,2,2024/10/17 12:05,2024/10/17 12:05,
535,Amazon,account-update@amazon.com,,Spam,0,2,2024/10/17 12:05,2024/10/17 12:05,
381,Amazon Business,no-reply@business.amazon.co.jp,,Spam,0,2,2024/10/17 11:37,2024/10/17 11:37,
382,Amazon Business,no-reply@business.amazon.co.jp,,Spam,0,2,2024/10/17 11:37,2024/10/17 11:37,
368,Amazon.co.jp,store-news@amazon.co.jp,,Spam,0,2,2024/10/17 11:36,2024/10/17 11:36,
369,Amazon.co.jp,store-news@amazon.co.jp,,Spam,0,2,2024/10/17 11:36,2024/10/17 11:36,
336,Anthropic,invoice+statements@mail.anthropic.com,,Contacted,0,2,2024/10/22 14:05,2024/10/22 14:05,
338,Anthropic,support@mail.anthropic.com,,Contacted,0,2,2024/10/23 1:59,2024/10/23 1:59,
544,Anthropic,support+news@mail.anthropic.com,,Spam,0,2,2024/10/21 14:34,2024/10/21 14:34,
489,au PAY インフォメーション,shop-infomail@aupay.wallet.auone.jp,,Spam,0,2,2024/10/17 11:57,2024/10/17 11:57,
490,au PAY インフォメーション,shop-infomail@aupay.wallet.auone.jp,,Spam,0,2,2024/10/17 11:57,2024/10/17 11:57,
